,area,bhk,bath,location,price
334,377.0,1.0,1.0,Shahdara,30.0
337,360.0,1.0,1.0,Shahdara,25.0
339,713.0,1.0,1.0,Shahdara,80.0
340,504.0,1.0,1.0,Shahdara,27.0
342,850.0,1.0,2.0,Shahdara,57.0
344,2475.0,3.0,3.0,Shahdara,700.0
346,2250.0,3.0,2.0,Shahdara,185.0
347,1500.0,1.0,3.0,Shahdara,300.0
348,1512.0,2.0,2.0,Shahdara,220.0
349,400.0,1.0,2.0,Others,90.0
350,2160.0,3.0,3.0,Shahdara,650.0
351,630.0,1.0,2.0,Shahdara,225.0
352,324.0,1.0,3.0,Shahdara,87.0
353,720.0,1.0,5.0,Shahdara,220.0
354,675.0,1.0,2.0,Shahdara,185.0
355,700.0,2.0,1.0,Shahdara,160.0
356,675.0,1.0,3.0,Shahdara,160.0
357,720.0,1.0,2.0,Shahdara,90.0
359,801.0,1.0,2.0,Laxmi Nagar,60.0
360,450.0,1.0,2.0,Laxmi Nagar,27.0
361,1000.0,3.0,2.0,Laxmi Nagar,65.0
362,990.0,3.0,2.0,Laxmi Nagar,40.0
363,420.0,1.0,1.0,Laxmi Nagar,26.0
364,450.0,1.0,1.0,Laxmi Nagar,35.0
366,900.0,1.0,2.0,Laxmi Nagar,70.0
367,800.0,1.0,2.0,Laxmi Nagar,45.0
368,720.0,1.0,3.0,Laxmi Nagar,55.0
369,450.0,1.0,1.0,Laxmi Nagar,27.0
371,1700.0,4.0,3.0,Laxmi Nagar,115.0
372,550.0,1.0,2.0,Laxmi Nagar,36.0
373,387.0,1.0,2.0,Laxmi Nagar,17.0
374,450.0,1.0,1.0,Laxmi Nagar,25.0
375,900.0,1.0,2.0,Laxmi Nagar,66.0
376,500.0,1.0,1.0,Laxmi Nagar,37.0
377,441.0,1.0,1.0,Laxmi Nagar,35.0
378,800.0,1.0,2.0,Laxmi Nagar,54.0
379,450.0,1.0,2.0,Laxmi Nagar,25.5
380,1000.0,3.0,3.0,Laxmi Nagar,125.0
382,600.0,1.0,2.0,Laxmi Nagar,70.0
383,540.0,1.0,1.0,Laxmi Nagar,35.0
384,312.0,1.0,4.0,Laxmi Nagar,350.0
385,810.0,1.0,2.0,Laxmi Nagar,90.0
387,900.0,1.0,2.0,Laxmi Nagar,60.0
388,1000.0,3.0,2.0,Laxmi Nagar,60.0
389,540.0,1.0,2.0,Uttam Nagar,26.5
390,950.0,3.0,2.0,Uttam Nagar,43.7
392,540.0,1.0,2.0,Dwarka,30.0
393,540.0,1.0,2.0,Uttam Nagar,33.0
394,1000.0,3.0,2.0,Uttam Nagar,55.1
395,500.0,1.0,2.0,Dwarka,32.0
396,540.0,1.0,2.0,Uttam Nagar,26.0
397,780.0,1.0,2.0,Uttam Nagar,40.0
398,450.0,1.0,1.0,Uttam Nagar,18.5
399,360.0,1.0,1.0,Uttam Nagar,17.0
400,900.0,1.0,2.0,Dwarka,28.0
401,495.0,1.0,2.0,Uttam Nagar,21.5
402,1200.0,1.0,3.0,Dwarka,68.0
